Temperature (°C),Pressure (kPa),Temperature x Pressure,Material Fusion Metric,Material Transformation Metric,Quality Rating
209.7627008,8.050855372,1688.769167,44522.21707,9229575.96,99.99997052
243.0378733,15.81206837,3842.931469,63020.765,14355367.16,99.98570341
220.5526752,7.843130045,1729.823314,49125.95025,10728388.69,99.99975761
208.9766366,23.78608919,4970.736918,57128.88155,9125701.954,99.99997484
184.7309599,15.79781221,2918.345014,38068.20128,6303791.886,99.99999986
229.1788226,8.498306097,1947.631786,53136.69065,12037071.66,99.99878571
187.5174423,19.41285094,3640.248155,42478.6945,6593259.8,99.99999973
278.3546002,7.070943886,1968.229758,77834.81823,21567221.67,95.73272258
292.7325521,20.4328958,5981.373734,94223.14707,25084521.95,64.62359868
176.6883038,14.14578222,2499.394266,34049.37234,5515789.062,99.99999998
258.3450076,7.65323911,1977.176116,67190.40901,17242440.86,99.81404217
205.778984,5.744220726,1182.039905,42534.52695,8713676.07,99.99998682
213.6089122,24.86755987,5311.932414,61006.75535,9746092.97,99.99993681
285.1193277,10.4873658,2990.150686,82446.48227,23178104.36,88.30169759
114.2072116,24.04497244,2746.109256,26945.14528,1489059.3,100
117.4258599,15.03672673,1765.700568,17188.68388,1618939.42,100
104.0436795,15.06030768,1566.929825,14240.95881,1126055.095,100
266.5239691,6.821394367,1818.065102,71352.43528,18932490.57,99.31144198
255.6313502,24.01411638,6138.760993,79195.79465,16704264.14,99.88070701
274.0024296,19.65791729,5386.3171,82673.81341,20570984.8,97.79908529
295.7236684,15.37455676,4546.620327,91086.67962,25861534.21,45.77593836
259.8317128,7.405142781,1924.090933,67918.58844,17541838.61,99.76336248
192.2958725,8.51353139,1637.116946,37594.76516,7110587.095,99.99999923
256.1058353,13.6433321,3494.136964,68129.77566,16797846.52,99.87100212
123.6548852,12.24517641,1514.175883,17126.62559,1890598.865,100
227.9842043,16.16276014,3684.854009,56199.07305,11849627.56,99.99902524
128.6706575,6.526879495,839.8178759,16834.18418,2130246.574,100
288.9337834,5.806920386,1677.815477,83678.54243,24120947.65,79.55659768
204.3696644,15.22206173,3110.927647,45294.08134,8535667.825,99.99999013
182.932388,5.570027619,1018.938453,33637.06984,6121665.709,99.99999991
152.9111224,6.19103908,946.6787347,23619.10748,3575300.69,100
254.8467379,12.52682916,3192.421548,66912.58799,16551338.44,99.89511927
191.2300664,6.235581395,1192.430644,36811.39315,6993041.621,99.99999939
213.6867898,12.70939253,2715.82929,47714.97525,9757214.095,99.99993579
